Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_AC,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RM,R_HEAT_TYP,YR_BUILT,Latitude,Longitude
105035000,471000,261.67,1980,Semi?Det,2739,3,3,3,0,3,N,0,R3,N,SD,F,W,8,F,1899,42.3673,-71.03539
105180000,385000,188.63,1376,Row End,2195,2,2,2,0,1,N,0,R1,N,RE,F,P,5,W,1875,42.36607,-71.03111
105186010,519500,343.58,1344,Semi?Det,2304,2,3,3,1,1,C,0,R1,N,SD,G,M,7,W,2003,42.366398,-71.031802
105193000,420000,263.82,1592,Row End,2564,2,3,1,0,1,N,0,R1,N,CV,F,M,6,W,1969,42.366489,-71.032023
105271000,600000,200.4,2994,Decker,4388,3,5,3,0,3,N,0,R3,N,DK,F,M,14,W,1900,42.36727,-71.03274
105291000,442000,230.21,1920,Semi?Det,2776,3,3,3,0,3,N,0,R3,N,SD,F,M,11,S,1900,42.3682,-71.03602
105307000,463000,200.61,2308,Semi?Det,2888,3,6,3,0,3,N,0,R3,N,SD,F,M,12,E,1900,42.36903,-71.03704
105321000,605000,169.04,2892,Decker,4024,3,12,4,2,4,N,0,R3,N,DK,F,M,17,W,1900,42.36852,-71.03558
105439000,500000,135.72,3290,Decker,4651,3,0,0,0,0,U,0,R4,Y,U,U,U,0,U,1920,42.3733,-71.03937
105479000,790000,270.09,2376,Row Middle,3168,3,8,3,0,3,N,0,R3,N,RM,F,B,15,W,1910,42.37262,-71.03949
105565000,335000,242.75,1512,Two Fam Stack,2268,2,2,2,0,2,N,0,R2,N,TF,G,M,7,W,1900,42.37187,-71.041
105691000,737000,285.33,2583,Semi?Det,3732,3,8,3,0,3,N,0,R3,N,SD,F,M,17,W,1900,42.37048,-71.0384
105713000,350100,248.3,1346,Row End,2156,2,4,2,0,2,N,0,R2,N,RE,F,M,6,W,1910,42.371156,-71.038159
105978000,853125,261.37,3177,Semi?Det,4002,3,6,1,1,1,N,2,R1,Y,SD,M,B,12,W,1900,42.37681,-71.03745
106062000,325000,206.35,1785,Row End,2635,3,3,1,2,1,N,0,R1,N,RE,M,M,6,F,1900,42.375288,-71.036939
106119000,475000,188.49,2520,Semi?Det,3360,3,6,3,0,3,N,0,R3,Y,SD,F,M,12,S,1900,42.3753,-71.03571
106123000,725000,199.89,3183,Semi?Det,4604,3,8,3,0,3,N,0,R3,Y,SD,F,M,17,W,1900,42.375091,-71.03594
106134000,300000,357.14,612,Conventional,1088,2,2,1,0,1,N,0,R1,N,CV,F,M,5,W,1890,42.37446,-71.03666
106162000,649000,208.01,2961,Decker,3948,3,8,3,0,3,N,0,R3,Y,DK,F,M,11,W,1900,42.374958,-71.036871
106194000,485000,160.81,1400,Decker,1400,3,5,3,0,3,N,0,R3,N,DK,F,M,15,S,1900,42.37513,-71.03463
106214000,450000,144.88,2902,Decker,3847,3,5,3,0,3,N,0,R3,N,DK,F,M,14,S,1910,42.37397,-71.03604
106281000,599000,248.96,2529,Decker,3372,3,3,3,0,3,N,0,R3,N,DK,F,B,9,W,1900,42.373708,-71.034988
106325000,610000,189.38,3221,Decker,4728,3,8,3,0,3,N,0,R3,N,DK,F,M,17,S,1900,42.37468,-71.03289
